,,□,美容室（経営者）,来客数の動き,・９月は大学生がまだ夏休みの時期なので、例年だと来客数、売上共に良いのだが、今年は来客数が少しダウンしていて、それに伴い売上も減少している。,,
,,□,美容室（経営者）,販売量の動き,・提供するメニューの量の動きが悪くなっている。１人の客が２つ、３つとメニューをこなす、ダブルメニュー・トリプルメニューが少なくなっている。,,
,,▲,商店街（代表者）,来客数の動き,・商店街を通行する人の数が以前にも増して減少している。それに伴い売上も減少している。,,
,,▲,商店街（代表者）,来客数の動き,・当店は市内中心部に位置しているが、郊外型大型店に客を取られつつある。,,
,,▲,一般小売店［靴］（経営者）,来客数の動き,・近隣の同じエリアに新しい商業施設がオープンしたことと、９月に入ってもずっと真夏日が連続していたことにより、来客数が非常に少ない月であった。,,
,,▲,一般小売店［紙類］（経営者）,来客数の動き,・残暑で客の動向が大変不安定である。,,
,,▲,一般小売店［酒店］（経営者）,お客様の様子,・９月も猛暑が続き、皆、夏バテ気味で、食品関係、飲食店の動きも含めて悪い。,,
,,▲,百貨店（営業担当）,来客数の動き,・例年にない厳しい残暑が９月末まであり、秋物が全然動かない。特に他ゾーンより早く動きがみられる高額品プレタゾーンにおいても、その季節の物を買うジャスト買い傾向が年々強くなっており、そのため全ゾーンが苦戦している。,,
,,▲,百貨店（営業担当）,販売量の動き,・例年に比べ残暑が厳しく、秋物商材の稼動が遅れ９月中旬から売上前年比が下降傾向にある。,,
,,▲,百貨店（販売促進担当）,お客様の様子,・９月の平均気温が７月を上回るなど夏日が継続しており、そのため基幹の婦人・紳士ファッションの秋物が大きく低迷している。特に分母の大きなミセスゾーンが厳しく、９月末になっても夏処分へのニーズがある状況である。,,
,,▲,百貨店（販売促進担当）,販売量の動き,・８月にやや上向きの兆しがみえてきたと期待していたが、９月は全体でも前年同月を大きく下回り、約９割のテナントが売上を大幅に落としている。いつまでも暑い気候のせいか、近隣にシッピングモールがオープンしたせいか分からないが、異常な落ち込みである。,,
,,▲,百貨店（売場担当）,販売量の動き,・まだ残暑が厳しく、秋物が売れないため、売上を確保するのが厳しい。,,
,,▲,スーパー（店長）,単価の動き,・少しグレードの高い商品の販売が不振である。客単価・１品単価の前年割れが続いている。,,
,,▲,スーパー（店長）,単価の動き,・平均単価は前年比97.6％と、３か月前の前年比と比べて約２％低下している。特に高額商品の多い生鮮部門において98％前後で推移している。単価の動きが非常に悪い。,,
,,▲,スーパー（店長）,単価の動き,・残暑の影響からか、いまだに売れているのは夏物処分が中心である。本来この時期に売るべき秋物がほとんど動かないため客単価が上がってこず、その結果、売上・利益共に例年を割り込んでいる。,,
,,▲,スーパー（店長）,来客数の動き,・客単価・買上点数は前年並みではあるが、来客数が前年を下回っており、売上に大きく影響している。,,
,,▲,スーパー（総務担当）,販売量の動き,・来客数は前年並みに推移しているものの、客単価・数量とも前年比で２％程度落ちている。商品価格、原材料が値上がりしている中、販売価格に転嫁できないため収支も良くない。,,
,,▲,スーパー（財務担当）,販売量の動き,・１品単価はほとんど変わっていないが、既存店での来客数及び買上点数がやや下がっている。,,
,,▲,衣料品専門店（経営者）,来客数の動き,・商店街でシャッターを下ろす店が増えた。郊外の大型店の増床オープンもあり来客数が著しく減少した。,,
,,▲,衣料品専門店（地域ブロック長）,販売量の動き,・前年に比べ気温が高い日が続き、秋物商材が動いていない。,,
,,▲,家電量販店（店長）,競争相手の様子,・新たな競合店の出店前に各社価格値下げ傾向にあり、大型耐久消費商品の単価低下に拍車が掛かっている。,,
,,▲,乗用車販売店（統括）,販売量の動き,・売上が４か月連続で前年割れとなっている。,,
,,▲,その他専門店［布地］（経営者）,来客数の動き,・今年は残暑が厳しく、秋物商材があまり動かなかった。,,
,,▲,一般レストラン（店長）,単価の動き,・夏場に比べて、客単価が若干（100～200円前後）低下している。,,
,,▲,その他飲食［ハンバーガー］（経営者）,単価の動き,・来客数は順調に２けたの伸びを示しているが、客単価が２～３％落ちて来ているため、売上の伸びが鈍化した。,,
,,▲,都市型ホテル（従業員）,来客数の動き,・地域的なものかもしれないが、コンベンション、企業団体の宿泊が、５～９月にかけて激減した。個人予約も、ビジネス関係が伸び悩んでいる。,,
,,▲,タクシー運転手,単価の動き,・８月後半から非常に動きが鈍くなっている。日中・夜・観光等全ての動きが鈍いまま９月に流れ込んで、例年だと９月10日過ぎになると好転するのだが、依然変わらず週末の夜の客も少ない。日中も病院通いの客を除いては全く動きがない。,,
,,▲,通信会社（社員）,販売量の動き,・販売量・来客数共に３か月前と比べてやや悪くなっている。,,
,,▲,設計事務所（経営者）,競争相手の様子,・６月に行われた建築基準法の大改正を受けて、建築確認申請が長引いたり、工事が中断したりして、当社の業務が滞っている。同業他社も同様な状況にある。,,
,,▲,設計事務所（経営者）,競争相手の様子,・建築、設計など建設に関する新規発注予定が全く無い。,,
,,▲,設計事務所（経営者）,単価の動き,・同業他社とも、全体的には受注単価の低下と販売量の減少が顕著である。,,
,,▲,住宅販売会社（従業員）,来客数の動き,・展示場への来客数が、３か月前に比べ１割減となっており、毎月減少傾向が続いている。,,
,,×,商店街（代表者）,販売量の動き,・普通でも２月、８月は景気が悪いと言われるが、今年はその８月より９月の方がもっと悪い。異常気象のせいかどうか分からないが、かつてないことである。,,
,,×,商店街（代表者）,お客様の様子,・盆明け後も暑さが続き、秋冬物の販売が流れに乗らない。,,
,,×,商店街（代表者）,お客様の様子,・９月に入っても真夏日が続き、秋物の売上が悪く、全体の売上も非常に落ち込んでいる。客は購買に対して慎重な姿勢が続いている。こう暑いと、道行く子供も皆半袖で、店内100％長袖商品の当店としては、非常に苦戦している。,,
,,×,百貨店（電算担当）,販売量の動き,・多額の経費を使って大きな催事を開催中であるが、来客数は去年よりプラスだが、予想より大幅に下回っている。さらに食品、衣料品、雑貨などほとんどの商品が、涼しくならない天候の影響で、前年比マイナスになっている。また消費者は、自分の生活保護の目的のために生活防衛に走っている。,,
,,×,百貨店（売場担当）,販売量の動き,・９月の売上が８月の実績を割り込む状況である。残暑が非常に厳しくブーツの売上が前年比58％と大きくマイナスとなっている。下旬になっても全く上向かず、婦人靴全体でも前年比80％である。,,
,,×,百貨店（販売担当）,お客様の様子,・来客数は前年比で若干減少している程度であるが、客はとにかく購入しない。特に秋物商材は全く動きがない。,,
,,×,家電量販店（店長）,お客様の様子,・来客数も少なく、あっても修理依頼で、商品はほとんど動かない状況である。,,
,,×,スナック（経営者）,来客数の動き,・映画館や劇場が他の場所に移転したり、スーパーマーケットが撤去したりと、周辺の変化で客足がすっかり途絶えてしまった。また、今月のように２週続けて３連休があると一般客の足も止まり、大変暇であった。,,
,,×,設計事務所（経営者）,競争相手の様子,・建築基準法改正により建築確認申請の手続が変わり、中規模以上の建築物の確認がおりない状況になっているため、困っている。,,
"企業
動向
関連

(中国)",,◎,輸送用機械器具製造業（経営者）,受注量や販売量の動き,・クライアントからの要望が多く、人材確保が難しい状況である。人材さえ確保できれば、売上も増加する。,,
,,○,窯業・土石製品製造業（総務経理担当）,受注量や販売量の動き,・各所からの注文生産が重なり、生産量は高水準を維持している。,,
,,○,輸送用機械器具製造業（経理担当）,受注量や販売量の動き,・新製品の受注増があり、生産能力を向上させ、何とか過負荷を回避した。またマイナーチェンジの製品の活況予測に引き続き、今期の目玉新製品群第２弾が順次立ち上がってきている。,,
,,□,食料品製造業（総務担当）,受注価格や販売価格の動き,・価格の据置きを進めているが、石油等の燃料費が高くなっていて、利益面に影響が出てきている。,,
,,□,化学工業（総務担当）,受注価格や販売価格の動き,・生産量、出荷量共に前月と大きな変化はなく安定しており、全般に高稼働率を維持している。物流費・原燃料費高騰の影響を受けながらも好景気の影響で、利益が出ている。,,
,,□,化学工業（総務担当）,受注量や販売量の動き,・販売量・価格共に、大きな動きなく推移している。,,
,,□,鉄鋼業（総務担当）,受注価格や販売価格の動き,・受注量は堅調だが、原材料やエネルギー関連費用の高騰が続き、収益的には厳しい。,,
,,□,金属製品製造業（総務担当）,競争相手の様子,・当社はフル生産で操業している。ただし、競争相手は仕事量が減っているとの情報がある。製品によって仕事量に差が生じており、同じ業界でも「高水準の受注一辺倒」ではなくなった感がある。,,
,,□,一般機械器具製造業（経営企画担当）,受注量や販売量の動き,・海外向けの自社製品の売上について、回復の兆しが見えてきた。,,
,,□,電気機械器具製造業（総務担当）,受注量や販売量の動き,・自動車・鉄道関連は受注が安定的かつ高止まりに入っており、依然減速の気配は見られない。エアコン関連も残暑の影響で、例年裏期に入る時期であるが、受注はまだ好調に入っている。,,
,,□,その他製造業［スポーツ用品］（総務担当）,受注量や販売量の動き,・受注は変わらず来ているが、本社販売の方は相変わらず売れる商品とそうでない商品差が激しく、売れない商品の在庫の問題で困っている。在庫がたまると生産の方まで影響してくるため厳しい。,,
,,□,建設業（経営者）,受注量や販売量の動き,・下落の幅は小さくなったとはいえ、地価もまた下がり、建設業界は全く活気がない。悪いまま推移している。,,
,,□,輸送業（統括）,取引先の様子,・今月は主要顧客の動きも鈍く、業務に変化がない月であった。,,
,,□,通信業（営業企画担当）,受注量や販売量の動き,・法人向け通信サービスの新規受注に停滞感がある。また高価格商品から、安価な物への乗換えに伴う収益減をカバーすることが困難となる状況が懸念される。,,
,,□,通信業（部門長）,受注量や販売量の動き,・主要商品の売上がここ２か月連続で目標を下回っている。取引先企業の売上も低迷しており、夏季という事を割り引いても景気回復とは言えない状況である。,,
,,□,金融業（業界情報担当）,取引先の様子,・主要取引先の新車の輸出好調を背景に、受注は高水準を維持し、増収・増益基調を持続している。,,
,,□,金融業（営業担当）,取引先の様子,・建設業・土木・室内装飾に至るまで、仕事がない状況が続いている。山口市のこの周辺では４月以降工事がほとんど出ていない。出たとしても、価格的に３割ダウンから始まるといった具合で、収益的には全く貢献していない状況が続いている。,,
,,▲,会計事務所（職員）,取引先の様子,・業種を問わず、思いのほか売上が増えていない。特に、販売や建設といった業種は売上を落としている。また、製造業はおおむね売上を増やしているものの、原材料の値上げにより利益幅が圧迫されてきている。,,
,,×,農林水産業（従業者）,それ以外,・今月と３か月前を比較すると、沖合底引網・大中型巻き網が減少したため、水揚げ数量で1062ｔの減少、水揚げ金額は３億4800万円の減少である。今月単月の前年比では大中型巻き網・中型巻き網船が減少したため、水揚げ数量で500ｔの減少、率で62.0％。水揚げ金額でも２億円の減少、率で65.0％である。,,
,,×,建設業（経営企画担当）,受注量や販売量の動き,・談合問題を皮切りに公共工事の受注は激減し、その反動で民間工事の受注競争が激増している。そのために民間工事の受注も減少している。,,
"雇用
関連

(中国)",,◎,職業安定所（雇用開発担当）,求人数の動き,・８月の新規及び月間有効求人は、前月・前年同月比共に上昇している。このことから、事業所の募集活動は活発になっているものと判断される。また、求職者に関しては、前月・前年同月共に減少を示しており、求職者を取り巻く就業環境は更に改善されている。このため求人倍率は前月より0.04ポイント上昇し、1.69倍となった。,,
,,○,求人情報誌製作会社（担当者）,採用者数の動き,・新卒向けの採用イベントの参加企業数が伸びている。,,
,,○,職業安定所（職員）,求人数の動き,・３か月前と比較して、月間有効求人数が200人増加している。また月間有効求人倍率についても0.08％上回っていること等から、やや良くなっている。,,
,,□,人材派遣会社（営業担当）,採用者数の動き,・企業の採用意欲は引き続き高く、特に金融機関や医療機関からの依頼は非常に多い。また中小企業でも採用の意欲は高くなってきており、直接雇用の依頼が増えてきている。,,
,,□,人材派遣会社（担当者）,採用者数の動き,・採用者数の動きは積極的な面はあるものの、団塊世代退職の補充の前倒し的な考え方によるものであるため、全体的な景気上向きによるものと考えにくい。,,
,,□,求人情報誌製作会社（支店長）,周辺企業の様子,・求人意欲は横ばいである。,,
,,□,職業安定所（職員）,求人数の動き,・求人状況は、飲食店・宿泊業でファミレスの新規オープンに伴う大量求人があったほかは、全ての業種で大きな変化はなく横ばいとなった。,,
,,□,職業安定所（職員）,周辺企業の様子,・新規高卒者の選考が開始され、大手化学製造メーカーを中心とした企業が順調に人員を確保しているが、中小企業においては、応募が全くないなど、必要とする人材の確保に苦慮している。,,
,,□,民間職業紹介機関（職員）,求人数の動き,・正式に採用活動を開始する前段階で求人企業から相談があり、間もなく正式に求人依頼が入るというパターンがあるが、以前に比べ「正式依頼」が入るまでに時間が掛かっている。採用方針の決定に、以前に比べ時間を要する傾向にあり、正社員採用するにあたり慎重になっているケースがかなり見られた。,,
,,□,学校［大学］（就職担当）,求人数の動き,・求人数は依然多く、活発な採用活動は続いている。しかし求人難による前年に引き続いての採用活動や、中途採用が得にくいための新卒採用等々、様々な要因での採用活動の拡大であり、直接景気が影響し、求人数が拡大しているとは思えない。,,
,,▲,新聞社［求人広告］（担当者）,周辺企業の様子,・スーパーを始め小売の売行きが良くない。企業にとっては広告費を始めとする３Ｋの節約への取組がますます増えており、特に求人広告の出稿の減少が景気の悪さを反映している。,,
,,▲,民間職業紹介機関（職員）,周辺企業の様子,・コンピュータ用ソフトの開発部門（技術職）でベトナムの人が働き出している。玉突き現象で少し能力が落ちる日本人はやや不安定な立場に立たされるケースも出ている。,,
,,×,－,－,－,,
,,,,,,,
　９．四国（地域別調査機関：四国経済連合会）,,,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）,,
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明,,
"家計
動向
関連

(四国)",,◎,－,－,－,,
,,○,観光名所（職員）,来客数の動き,・外国人の観光客が増えてきている。,,
,,○,住宅販売会社（従業員）,販売量の動き,・家族構成の変化等での建て替え、リフォームの相談が増えており、商談数・受注量とも３か月前と比べると増えた。,,
,,□,百貨店（営業担当）,それ以外,・来客数、売上高共に前年同月を上回った。ファッション商品関連商品、インテリア＆リラクゼーションが前年割れとなり、食品が前年を確保した。秋物商材の動きはない。,,
,,□,スーパー（統括担当）,販売量の動き,・客１人当たりの買上点数は、変わらない。,,
,,□,コンビニ（経営者）,販売量の動き,・天候の良い日が続き、売上は３か月前と変わらない。,,
,,□,コンビニ（エリア担当）,販売量の動き,・来客数は前年並みである。客単価について７、８月は、たばこの増税の影響で伸びなかったが、９月の伸び率も前年より３～４ポイント悪い。総合的に見て小売・コンビニは良くない。,,
,,□,家電量販店（営業担当）,販売量の動き,・テレビやＤＶＤビデオは動き出したが、調理家電、パソコン等が伸び悩んでいる。,,
,,□,乗用車販売店（従業員）,販売量の動き,・販売量の動きが変わらない。2007年に新型車３車種が発表されたが前年と変わらない。客からも景気が良くなったという話はない。,,
,,□,乗用車販売店（従業員）,単価の動き,・前年比で販売量は伸びていない。,,
,,□,一般レストラン（経営者）,来客数の動き,・大型店等の出店に伴い、人の移動が郊外へと動いている。,,
,,□,観光型旅館（経営者）,来客数の動き,・全国的に国内旅行は良くない。国内旅行先として四国に客が増えるという状況ではない。道後についても、まちづくりは進んでいるが、まだまだ客が増えるという状況にはない。,,
,,□,都市型ホテル（経営者）,単価の動き,・単価は下げ止まった感がある。来客数は夏を境に増える傾向にある。,,
,,□,タクシー運転手,単価の動き,・単価が伸びず、利用回数も減少している。,,
,,□,タクシー運転手,お客様の様子,・前年比で、10％売上が低下している。給料やボーナスが上がったという客の話はない。,,
,,□,通信会社（管理担当）,販売量の動き,・販売数は横ばいである。３か月前との景気は大きく変わらない。,,
,,□,観光名所（経営者）,来客数の動き,・観光客が少し増えてきている。,,
,,□,設計事務所（所長）,お客様の様子,・公共事業の設計をしているが、公共事業の予算取りが厳しくなっている。,,
,,▲,商店街（代表者）,来客数の動き,・９月は大変暑いこともあって、秋物の立ち上がりが非常に悪かった。来街者数も減少している。,,
,,▲,百貨店（営業担当）,お客様の様子,・今月は天候の影響もあるが、秋物がほとんど動かなかった。以前、動いていた高額商品も動かず、景気が低迷している。,,
,,▲,スーパー（店長）,単価の動き,・敬老の日の商品、秋分の日の花、十五夜の団子等、いずれも単価の安いものにシフトしている。,,
,,▲,スーパー（企画担当）,単価の動き,・原油高騰の影響が、小麦・油等の食品にも出てきており、今月から店頭価格も上がってきている。残暑が続いており、衣料品の売上も低調であった。,,
,,▲,衣料品専門店（経営者）,販売量の動き,・例年であれば９月の中旬以降、先取りをして婦人物が良く動くが、今年は残暑が厳しく紳士物も含めて動きが悪かった。,,
,,▲,衣料品専門店（経営者）,来客数の動き,・オータムフェアを開催し、来店を促しているが残暑が厳しく来客数が悪い。前年比で１割以上のマイナスで推移している。,,
,,▲,乗用車販売店（管理担当）,販売量の動き,・例年９月は、売上増が見込まれる月であるが、今年は下降している。,,
,,▲,タクシー運転手,来客数の動き,・９月に入り、３連休が２回あり会社関係が休みで客数が少ない。夜飲みに出る人も少なく、また今秋は四国八十八箇所参りも少ないので売上が全体に伸びない。,,
,,▲,美容室（経営者）,単価の動き,・来客数は前年並みではあるが、消費意欲が少なく客単価が低い。,,
,,▲,美容室（経営者）,来客数の動き,・来店の周期が長くなっている。,,
,,▲,設計事務所（職員）,競争相手の様子,・公共事業の縮減により受注競争の激しい状況が続いており、価格競争が下げ止まらない。競争相手（業者数）が増えてきており、業界全体が厳しい。廃業や人件費削減等のコスト圧縮を行っている会社も増えてきている。,,
,,×,一般小売店［酒］（販売担当）,販売量の動き,・業務用向けの酒販店であるが、地方都市では販売量及び単価の低下に全く歯止めが掛からない。,,
,,×,衣料品専門店（経営者）,来客数の動き,・気温が例年よりも高く、秋物への購買意欲が低い。,,
"企業
動向
関連

(四国)",,◎,－,－,－,,
,,○,繊維工業（経営者）,販売量の動き,・小売段階での受注が活発になっている。,,
,,□,パルプ・紙・紙加工品製造業（経営者）,受注量や販売量の動き,・新商品の販売は増加してきているが、主原料のパルプ、古紙を中心に全ての素材が値上げしており採算が取れない。,,
,,□,一般機械器具製造業（経理担当）,受注量や販売量の動き,・トラック需要の低迷から小型クレーンの需要は落ち込んでいるものの、大型クレーンは災害復興工事の影響等もあって稼働状況は良好であり、全体的には堅調に推移している。,,
,,□,建設業（経営者）,受注量や販売量の動き,・相変わらず受注が伸びず、採算が合わない工事が多い。,,
,,□,公認会計士,取引先の様子,・客の今月の試算表、前年比の決算等を見ると前年比で３％売上も落ち、減収減益の状況が続いている。,,
,,▲,一般機械器具製造業（経理担当）,受注量や販売量の動き,・顧客からの引き合いが少ない。下水・土木・工場関係のうち良いのは工場のみである。ユーザーの仕事量が少ないことも受注に影響している。,,
,,▲,輸送業（役員）,受注価格や販売価格の動き,・原油価格の高騰に加え、取引先からの合理化による取扱量の減少や運賃値下げ要請により売上高が減少している。,,
,,×,木材木製品製造業（経営者）,競争相手の様子,・建築基準法の改正による認可の遅れと輸入材、国内の天然材の暴騰が悪化の要因である。,,
,,×,建設業（総務担当）,競争相手の様子,・今月に入り、老舗の中堅土木業者が倒産した。原因は過当競争による赤字受注で、自転車操業が破綻したものである。,,
"雇用
関連

(四国)",,◎,－,－,－,,
,,○,求人情報誌製作会社（編集者）,求人数の動き,・新卒採用市場が中央の大手採用増を中心とした売手市場のため、四国では企業の採用難易度が高く、質的な充足を目指した第２新卒採用にこの時期から取り組む企業が増加しており、年末にかけて更に需要が見込める状態である。,,
,,□,人材派遣会社（支店長）,求人数の動き,・新規案件の絶対数が減っている。,,
,,□,新聞社［求人広告］（担当者）,周辺企業の様子,・企業のマイナス思考が強く、広告もマス媒体よりもエリアを細分化した折り込みなどのミニ媒体になっている。,,
,,□,職業安定所（職員）,求人数の動き,・新規求人数は３か月前に比較して、やや減少している。,,
,,▲,職業安定所（職員）,採用者数の動き,・就職者数は８か月連続で前年を下回っている。,,
,,▲,職業安定所（職員）,求人数の動き,・新規求人数は、ここ３か月のうち２か月が前年比マイナスとなっている。,,
,,▲,民間職業紹介機関（所長）,周辺企業の様子,・主に３月期決算の取引先企業で、決算が悪かった多くの企業が４月以降でテレビＣＭ、新聞折込み等の広告費を減らしている。,,
,,×,－,－,－,,
,,,,,,,
　１０．九州（地域別調査機関：（財）九州経済調査協会）,,,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）,,
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明,,
"家計
動向
関連

(九州)",,◎,－,－,－,,
,,○,スーパー（経営者）,来客数の動き,・前年に比べ台風被害が少なく、来客数も例年並みである。野菜等の相場も安定しており、客の購買意欲は高い。,,
,,○,コンビニ（エリア担当・店長）,競争相手の様子,・近隣の大型スーパーが改装のため閉店しており、自店の売上、来客数は伸びている。気温が高く、夏物商材の売行きが良い。,,
,,○,家電量販店（総務担当）,販売量の動き,・残暑の影響で相変わらず季節商材が好調である。,,
,,○,家電量販店（企画担当）,販売量の動き,・テレビを中心に全体的に良く動いている。,,
,,○,高級レストラン（スタッフ）,来客数の動き,・９月は連休もあり、人の動きが活発である。予約の状況も良く、来客数、売上共に前年を上回っている。,,
,,○,旅行代理店（従業員）,来客数の動き,・暑さ回避と価格下落をねらって、夏の休暇を９月に取る傾向が強くなっている。また、東京を中心にビジネス利用も増えている。,,
,,○,テーマパーク（職員）,来客数の動き,・隣接する観光施設が９月末で閉館するため、駆け込み的に利用者が増加している。宿泊とゴルフは横ばいで推移している。,,
,,□,商店街（代表者）,販売量の動き,・残暑が厳しく、高齢者の来客数が多い商店街には厳しい状況である。,,
,,□,商店街（代表者）,販売量の動き,・残暑が長引き、秋物衣料の動きが鈍い。月末にかけて少しずつ回復している。,,
,,□,一般小売店［茶］（販売・事務）,販売量の動き,・９月に入っても猛暑が続き、例年以上に日本茶の売行きが悪い。もともと天候で左右される商品だが、今年は特にその傾向がある。,,
,,□,百貨店（営業担当）,お客様の様子,・衝動買いをする客が減少しており、購買に慎重になっている。催事については、お得感のある催しや若手女性社員のコンセプトに沿って組み立てた催しは来客数が増加し、売上も上昇する。しかし従来型のカレンダー催事での集客は厳しくなっている。また、手持ちの現金での購入を済ませる客が主で、クレジットでの購入をちゅうちょする声が多く聞かれる。,,
,,□,百貨店（営業担当）,販売量の動き,・９月に入っても猛暑が続き、婦人・紳士とも秋物衣料の動きが鈍い。全体としては前年を上回っている。,,
,,□,百貨店（営業担当）,販売量の動き,・残暑が厳しく秋物が稼動しない。ファッション分野での購買意欲が落ちていたが、それ以外の部分でも減退している。,,
,,□,百貨店（業務担当）,販売量の動き,・残暑が厳しく、秋冬物の衣料品に本格的な動きがない。雑貨の動きも鈍いままである。,,
,,□,スーパー（店長）,販売量の動き,・食の安全に関する問題や高齢化等により、消費量が減少している。原材料の値上がりによる小売価格の値上げも消費意欲の減退に拍車を掛けている。,,
,,□,スーパー（店長）,競争相手の様子,・今月末に競合店が開店し、来客数が激減している。,,
,,□,スーパー（店長）,来客数の動き,・猛暑が続き、購買意欲の低下が続いている。,,
,,□,スーパー（店長）,販売量の動き,・敬老の日ギフト関連は非常に好調である。ハイミセス服も前年比114％、ケープ、ひざ掛け等服飾雑貨も同110％と好調である。その他旅行関連商品もトラベルバッグが同119％で伸長している。ただ残暑が厳しいため、子供服を中心に秋物ファッションが不調である。,,
,,□,スーパー（総務担当）,お客様の様子,・食料品については前年並みで推移しているが、衣料品は残暑の影響で相変わらず不振である。,,
,,□,スーパー（企画担当）,来客数の動き,・月初は雨天が続き、気温も低くなっていたが、それ以降は最高気温30度以上の夏日が続き、アイスクリーム・清涼飲料・ビール・発泡酒等が大幅に伸長している。また、競合店の閉鎖による流客で来客数も増加している。しかし、猛暑により野菜の品質が低下し、入荷が減少しており、中国産原料の加工食品も不振である。例年なら動き始める秋物商材等の動きも鈍く、大型商業施設や競合スーパーマーケットの影響も依然続いている。,,
,,□,スーパー（経理担当）,販売量の動き,・９月中も暑い日が続き、売れるものが季節と合致していない。また、中国産商品の売上が悪く、品ぞろえも少々減らしている。,,
,,□,コンビニ（エリア担当）,販売量の動き,・今月に入っても気温が高いため飲料、アイス等の売上が好調に推移しており、前年を上回る状況である。,,
,,□,衣料品専門店（店員）,販売量の動き,・残暑が厳しく、秋物が売れない。流行のワンピースやチュニックだけは動いたが、全体としては苦戦している。特にジャケットスーツなどキャリア向け商品の動きが悪い。,,
,,□,衣料品専門店（店員）,お客様の様子,・９月は秋物の立ち上がりの時期であるが、残暑が厳しく出足が鈍い。ただし中旬以降、魅力的な秋冬物商材を目にした客は、暑くても単価が高くても購入する傾向があり、総じて前年並みに推移している。,,
,,□,衣料品専門店（総務担当）,販売量の動き,・ヤング衣料品は雑貨物が前年実績を上回っている。ミセス婦人服は夏物バーゲンが不振となり前年割れである。宝飾品はセール時の売行きが良く、前年実績を上回っている。着物・呉服は来客数の大幅な減少により苦戦している。衣料品全体としては、前年をやや下回っている。,,
,,□,乗用車販売店（販売担当）,販売量の動き,・販売量が前年、前月と比べて減少傾向である。,,
,,□,住関連専門店（経営者）,来客数の動き,・相変わらず来客数は少ないが、大口の購買が少し出ている。,,
,,□,その他専門店［ガソリンスタンド］（統括）,販売量の動き,・厳しい残暑の影響から、燃料油の販売は好調である。ただ、燃料油の小売価格は高止まり状態であるため、必要な分だけの定量購入者が増えている。,,
,,□,高級レストラン（専務）,来客数の動き,・大型商業施設が郊外に開店し、中心市街地近辺は客が減っている。,,
,,□,観光型ホテル（スタッフ）,販売量の動き,・婚礼、レストラン、宿泊等の個人消費は予算、前年実績を上回っているが、法人関係の一般宴席が予算、前年実績を下回っている。,,
,,□,観光型ホテル（営業担当）,来客数の動き,・台風による早めのキャンセルが出ている。しかし、地元の婚礼関係の動きが良く、売上増加につながっている。,,
,,□,通信会社（管理担当）,販売量の動き,・受注件数が伸びていない。,,
,,□,通信会社（総務担当）,販売量の動き,・販売量が伸びず、窓口に来る客の様子をみても景気は良くない。,,
,,□,通信会社（業務担当）,来客数の動き,・週末の来客は多かったものの、平日は新サービスの受付も落ち着き、来客数は減少している。,,
,,□,ゴルフ場（従業員）,来客数の動き,・異常気象でゴルフ場の入場者数も思うように伸びない。また、イベントを開催しても例年より参加者が少なく、猛暑は屋外施設に大きなダメージを与えている。,,
,,□,美容室（店長）,競争相手の様子,・競合店に低料金の店が増えており、厳しい状況である。,,
,,□,住宅販売会社（従業員）,お客様の様子,・仲介業務の土地の問い合わせが前月とあまり変わらない。競争相手も同じ状況である。,,
,,▲,商店街（代表者）,来客数の動き,・暑さで来街者数が少なく、販売量も落ちている。,,
,,▲,商店街（代表者）,来客数の動き,・商店街は高齢客が多いため、連日の猛暑により買物客がかなり減っている。また商店街には駐車場が少ないため、帰省客等も近隣のデパート、商業ビル等に足を運んでいる。,,
,,▲,商店街（代表者）,来客数の動き,・来客数が減少しており、空き店舗も増加している。,,
,,▲,商店街（代表者）,それ以外,・長引く猛暑により、秋物の動きが非常に悪い。,,
,,▲,商店街（代表者）,来客数の動き,・郊外大型店の競争激化により中心街への来客数は減少している。,,
,,▲,一般小売店［青果］（店長）,お客様の様子,・記録的な暑さで客の購買意欲はかなり落ちている。その上、県外物の野菜がかなり高値で推移しており、厳しい状況である。,,
,,▲,百貨店（営業担当）,お客様の様子,・暑さにより、この時期売れるべき婦人服のジャケット、コートが全く売れない。雑貨でもブーツ等秋冬物の動きが極端に悪い。,,
,,▲,百貨店（営業担当）,競争相手の様子,・郊外型大型商業施設の出店後、中心街の各店は非常に苦戦している。,,
,,▲,百貨店（売場担当）,販売量の動き,・来客数が前年比102％と前年実績を上回っているが、売上は同97％で推移している。中旬以降、残暑がかなり厳しく、全般に秋物の衣料品が苦戦している。他店もあまり良くない。,,
,,▲,百貨店（営業企画担当）,販売量の動き,・９月の最高平均気温が30度を超えて推移し、秋物商材の動向が不振である。特に婦人服では、晩夏物のカットソーのみ好調で、他のアイテムは不振である。全館の来客数は前年の台風の反動もあり、前年並みで推移しているものの、動員施策や秋、冬の提案商品はいずれも厳しい状況である。,,
,,▲,スーパー（店長）,単価の動き,・野菜等の高値がずっと続いており、客の買上単価は上がっている。一方、来客数はなかなか増えず、買上個数も約１点ほど少なくなっている。,,
,,▲,スーパー（総務担当）,販売量の動き,・９月に入っても暑いため、秋物衣料関係の動きが非常に鈍っている。,,
