,,▲,都市型ホテル（スタッフ）,来客数の動き,・送別会シーズンでもあり、宴会場は例年並みで好調であったが、宿泊に関しては来客数が減少している。,
,,▲,タクシー運転手,お客様の様子,・観光シーズンに入ったが、ホテル・旅館の客の動きがあまりない。夜の送別会などで少しはゆるやかに動いてきた。,
,,▲,住宅販売会社（従業員）,来客数の動き,・来場数が、減少傾向に拍車がかかっているように思われる。,・来場数が、減少傾向に拍車がかかっているように思う。
,,×,商店街（代表者）,販売量の動き,・３か月前の歳暮期と比べると、売上は半分ぐらいしかない。,・３か月前のお歳暮期と比べると、売上は半分ぐらいしかない。
,,×,商店街（代表者）,来客数の動き,"・顧客の購買意欲が全く見受けられず、３月は、販売額が非常に悪化している。
・顧客の価格価値感覚がバブル期の３割減である。3,000円クラスの商品を5,000円クラスに感じるようである。",
,,×,商店街（代表者）,販売量の動き,・来街者が全くない。通りを人が歩いていない。,
,,×,百貨店（売場担当）,単価の動き,"・春物商戦は、衣料品の売上が婦人衣料を中心に、前年対比90％と今までになく厳しいスタートとなっている。
・催事場のみ前年並みの売上であり、単価が低くなり売上が厳しい。",
,,×,住関連専門店（広告企画担当）,お客様の様子,・家具に対して、結婚のときに準備するという意識が低くなってきている。必然的に単価も下がってくる。,
,,×,スナック（経営者）,来客数の動き,"・３月は、例年歓送迎会需要で忙しかったが、今年は、客が全く動かず、街中が閑散とし、競合店も含め苦戦した。
・月末にやや回復したが、このような３月は初めてである。",
,,×,旅行代理店（経営者）,販売量の動き,・例年見られる、３月の好景気企業を中心とした駆け込み需要が全く見られないため、３月の売上が例年と比べて３割減少している。,
"企業
動向
関連

(中国)",,◎,輸送用機械器具製造業（経理担当）,受注量や販売量の動き,・３か月前と比べて１０％増の受注販売量である。,
,,◎,コピーサービス業（管理担当）,受注量や販売量の動き,・年度末の特需が原因で３ヶ月前と比較すると季節変動により受注量は増加しているが、例年と比べて減少している。,・年度末の特需が原因で３か月前と比較すると季節変動により受注量は増加しているが、例年と比べて減少している。
,,○,農林水産業（従業者）,それ以外,"・１月度と３か月前の10月度とを比較すると水揚数量で1400トンの減少、水揚金額で4700万円の減少であった。水揚数量減少の要因は中型巻き網漁の減少にあり、水揚金額減少の要因も中型巻き網漁が減少したためである。
・また２月度の前年対比は、水揚数量454トンの増加（119％増）、水揚金額は１億3400万円の増加であった。水揚数量の増加要因は、大中型巻き網漁、沖合イカ釣漁の増加であり、水揚金額の増加要因も同様である。",
,,○,化学工業（総務担当）,受注価格や販売価格の動き,・生産量、出荷量ともに先月と大きな変化はなく安定しており社内は全般的に高稼動率である。物流費、原燃料費高騰の影響を受けながらも好景気の影響で、利益は上がってきている。,・生産量、出荷量ともに前月と大きな変化はなく安定しており社内は全般的に高稼動率である。物流費、原燃料費高騰の影響を受けながらも好景気の影響で、利益は上がってきている。
,,○,化学工業（総務担当）,受注量や販売量の動き,・相変わらず自動車関連の製品は好調を持続している。,
,,○,電気機械器具製造業（総務担当）,受注量や販売量の動き,・自動車関連は国内、海外とも好調であり、向こう３か月間フル操業の予定であるが、携帯電話関連はあまり芳しくない。,
,,○,建設業（経営企画担当）,受注量や販売量の動き,・例年、受注量が増加する時期ではあるが、今年は前年同月と比較して、２割ほど多く受注している。特に民間の受注が大きく伸びてきている。,
,,○,金融業（業界情報担当）,取引先の様子,"・輸出を中心とした主力車の販売好調を背景に、生産はフル操業を持続中である。
・樹脂原料価格の上昇などコストアップから利益率は伸び悩んでいるが、受注拡大により増益は確保している。",
,,□,窯業・土石製品製造業（総務経理担当）,受注量や販売量の動き,・大型案件の生産完了後は、新規の案件がほとんどない状況である。,
,,□,金属製品製造業（総務担当）,受注量や販売量の動き,・受注量に関しては、３か月前と同様に好調に推移している。この傾向は変わっていない。,
,,□,一般機械器具製造業（経営企画担当）,受注量や販売量の動き,・北米を中心とした海外向け自社製品の売上は引き続き好調に推移しているが、他方、国内向け仕入れ商品の売上が苦戦している。,
,,□,輸送用機械器具製造業（総務担当）,受注量や販売量の動き,・受注量や販売量は、ここ２、３か月間は横ばいのまま推移している。,
,,□,その他製造業［スポーツ用品］（総務担当）,受注量や販売量の動き,・相変わらず消費動向は思わしくない。売れ筋商品は堅調に推移しているが、通常商品の売行きは低調である。,
,,□,建設業（経営者）,受注量や販売量の動き,・大都市では地価の下げ止まりが見られるが、当地では下げ止まっていない。よって、不動産、建設、関連資材も低調のまま推移している。,
,,□,通信業（営業企画担当）,受注価格や販売価格の動き,・企業通信サービスの価格低下傾向に変化はなく、通信業界の収益減は続いている。年度末を迎えても好転のきっかけは掴めず、利益の前年割れは避けられない見通しである。,
,,□,通信業（社員）,受注量や販売量の動き,・平成17年度の売上目標額を策定中であるが、状況は益々厳しいものとなっている。既存の顧客からの受注分の増加は見込めず、横ばいもしくは減少傾向である。また、新規事業については今年度以上の売上の目標設定を求められている｡,・平成17年度の売上目標額を策定中であるが、状況はますます厳しいものとなっている。既存の顧客からの受注分の増加は見込めず、横ばいもしくは減少傾向である。また、新規事業については今年度以上の売上の目標設定を求められている｡
,,□,金融業（営業担当）,受注量や販売量の動き,・公共事業頼みの傾向は引き続いている。例年見られた３月の駆け込み需要も、公共工事の発注が全く見られず、その結果、工事量が全くないという企業が出てきている。,
,,□,不動産業（経営者）,受注価格や販売価格の動き,"・景気が上向き状態になりそうでならない状況である。
・この影響のため、賃貸を中心に、顧客の移動が減少傾向にあり、販売実績があまり良くない方向に進んでいる。",
,,□,会計事務所（職員）,取引先の様子,・製造業関連では、受注量は若干増加傾向にあるものの、経営内容が潤うところまではいっていない。また、販売業関連は売上高、利益ともに前年の水準を割り込んでいる。,
,,□,その他サービス業［清掃具レンタル］（情報管理担当）,受注量や販売量の動き,・官公庁で合見積の実施、大口顧客の経費削減などで事業者向け商材は値崩れ起こすなど苦しい状況である。,
,,▲,食料品製造業（総務担当）,受注量や販売量の動き,・昨年末から、すり身価格の値上げ続いている中、練製品の売価は据え置きで、利益が取れない状況が続いている。,・前年末から、すり身価格の値上げ続いている中、練製品の売価は据置きで、利益が取れない状況が続いている。
,,▲,繊維工業（統括担当）,受注量や販売量の動き,・新学期が近まるものの、制服の受注状況が非常に伸び悩んでいる。,
,,×,建設業（営業担当）,競争相手の様子,・国、地方自治体の発注量が減少しているため、大手業者までも、従来関わらなかった民間の小さな工事まで参画し始めた。,
"雇用
関連

(中国)",,◎,求人情報誌製作会社（支店長）,求人数の動き,"・例年、年度末は求人需要が多いが、今年度に関しては、それを踏まえた上でも求人数は多い。
・また、具体的に募集活動している以上の求人意欲も感じる。",
,,○,求人情報誌製作会社（支社長）,求人数の動き,・地元自動車メーカーを中心に車関連の売上台数が上向いているという所を含めて全体的にそこから波及している景気のよさを感じる。,
,,○,民間職業紹介機関（職員）,採用者数の動き,"・非常に稀なケースではあると言えるが、海外営業人材の依頼を受け紹介した人材に対し、将来のセールスエンジニアを目指して欲しいとの考えから開発設計で内定を頂いた。以前であれば即戦力しか採用しなかったこの企業にも余力が出てきたと感じた。
・また別の企業でも条件を緩和し採用活動を行うなどマーケットの人材薄を物語っていると言える。","・非常に稀なケースではあるといえるが、海外営業人材の依頼を受け紹介した人材に対し、将来のセールスエンジニアを目指して欲しいとの考えから開発設計で内定を頂いた。以前であれば即戦力しか採用しなかったこの企業にも余力が出てきたと感じた。
・また別の企業でも条件を緩和し採用活動を行うなどマーケットの人材薄を物語っているといえる。"
,,○,学校［大学］（就職担当）,求職者数の動き,・倫理憲章遵守の目安としての４月を控え、求職者の動きが非常に活発化している。,
,,□,人材派遣会社（支店長）,周辺企業の様子,"・正社員のスライドで雇用状況は一見顕著な伸びをみせているように見受けられるが、やはり安いコストへの移行ということでパート、派遣に移っている。これは正社員を抱え込むよりはリスクが少ないという状況からで、それらも含めて社員の退職後は派遣でやっている。
・大量の仕事するときは社員の常用ではなく派遣やパートに委ねる部分を考えると決して労働条件等が良くなっているとは見受けられない。","・正社員のスライドで雇用状況は一見顕著な伸びをみせているように見受けられるが、やはり安いコストへの移行ということでパート、派遣に移っている。これは正社員を抱え込むよりはリスクが少ないという状況からで、それらも含めて社員の退職後は派遣でやっている。
・大量の仕事するときは社員の常用ではなく派遣やパートにゆだねる部分を考えると決して労働条件等が良くなっているとは見受けられない。"
,,□,求人情報誌製作会社（担当者）,雇用形態の様子,・パートや契約社員の求人は伸びているが、正社員の雇用となると企業が慎重な姿勢をとっている。,
,,□,職業安定所（雇用開発担当）,求人数の動き,・新規求人数は、前年対比で、金属製品、輸送用機械器具製造業、サービス業で増加した一方、建設業、卸小売業、金融保険不動産業で減少となったが、求人数全体的には安定しており、求人倍率も１倍台を維持している。,
,,□,職業安定所（職員）,求人数の動き,・求人は例年同月と比べ、件数、人数とも減少している。求人は欠員補充に止まっており、準社員やパートなど非正規雇用が目立っている。,
,,□,職業安定所（職員）,求人数の動き,・新規求人数の増加傾向が鈍ってきた。,
,,□,職業安定所（職員）,求人数の動き,・新規求人数がわずかながら増加しているが、求職者数はそれ以上に増加しており求人倍率も低迷している。,
,,□,民間職業紹介機関（職員）,採用者数の動き,・欠員募集であっても、正社員で補充する場合は求人企業がなかなか妥協してまで採用しないので正社員の雇用が増えることにはならない。,
,,▲,学校［短期大学］（就職担当）,求人数の動き,・年度末を迎え、求人依頼数や採用内定者数ともに激減した。また、いずれの件数も前年同時期と比較すると下回っており、地域経済の底冷え感は否定できない。,
,,×,－,－,－,
,,,,,,
　９．四国（地域別調査機関：四国経済連合会）,,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）,
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明,
"家計
動向
関連

(四国)",,◎,－,－,－,
,,○,一般小売店［書籍］（営業担当）,お客様の様子,・教育費としての書籍代に費やす金額が増えてきている。,
,,○,家電量販店（店長）,販売量の動き,・シングル家電の動きが良い。特に薄型テレビが入ったセットが良く売れている。また、パソコンも前年140％と伸び、全体の売上増に貢献している。,
,,○,家電量販店（営業担当）,販売量の動き,・テレビ、ＤＶＤなどの販売量は予想より、20、30％は増加している。また、冷蔵庫、エアコンも、前年より多少良くなっている。,
,,○,乗用車販売店（従業員）,単価の動き,・以前のように高額な車が良く売れることはないが、決算期ということもあり、売行きは良い。,
,,○,旅行代理店（従業員）,販売量の動き,・国内旅行の相談、見積りも多く受けている。また、愛知万博関連のパッケージ旅行も売出され旅行を取り巻く環境は良い。,・国内旅行の相談、見積も多く受けている。また、愛知万博関連のパッケージ旅行も売出され旅行を取り巻く環境は良い。
,,○,タクシー運転手,来客数の動き,・八十八カ所参りの客の乗車がみられるようになった。,
,,○,ゴルフ場（従業員）,来客数の動き,・３か月前と比べると、来客数や予約は増加している。,
,,□,一般小売店［生花］（経営者）,競争相手の様子,・例年の３月は、卒業式や送別会などの注文が多く入ってきたが、今年は最後の１週間に集中し、前半の売上がかなり落ち込んでいる。,
,,□,百貨店（総務担当）,お客様の様子,・春物に商品を切り換えたが、バーゲン目当てで来店される客が結構いる。また、バーゲン時期に比べて、春物に切り換えてから来客数が減った。,・春物に商品を切替えたが、バーゲン目当てで来店される客が結構いる。また、バーゲン時期に比べて、春物に切替えてから来客数が減った。
,,□,スーパー（企画担当）,単価の動き,・客単価のダウン（１％強）が続いており、売上高も前年と比較すると、衣料品は８％程ダウン、食品は魚が１０％下回っており、ホワイトデーのあった菓子はまずまずだったものの、その他は良くない。また、セールを行なっても、なかなか来客数が増えない。,・客単価のダウン（１％強）が続いており、売上高も前年と比較すると、衣料品は８％ほどダウン、食品は魚が１０％下回っており、ホワイトデーのあった菓子はまずまずだったものの、その他は良くない。また、セールを行なっても、なかなか来客数が増えない。
,,□,スーパー（財務担当）,来客数の動き,・既存店の来客数を３か月前の昨年比でみると、103.3％が103.2％と、ほぼ横ばいである。,・既存店の来客数を３か月前の前年比でみると、103.3％が103.2％と、ほぼ横ばいである。
,,□,コンビニ（店長）,販売量の動き,・前年と比較すると、単価や来客数は、多少動くことはあっても、売上でみると、微減で安定している。,
,,□,乗用車販売店（従業員）,来客数の動き,・３月の各企業の決算需要を見込んでいたが、例月よりは多かったものの期待ほどではなかった。,
,,□,乗用車販売店（営業担当）,来客数の動き,・年間を通じて、一番の需要期である月であるが、来客数の動きが非常に悪い。結果、受注量が落ちている。,
,,□,都市型ホテル（経営者）,単価の動き,・来客数の動きという部分では、若干良くなっているが、それ以上に単価の長期低落傾向が続いている。,
,,□,設計事務所（職員）,競争相手の様子,・この時期は、例年なら良くなるが、今年は、競合相手も含めて仕事量が例年よりやや少ない。,
,,▲,商店街（代表者）,来客数の動き,・景気が底入れするにつれて、大都市と地方都市との経済格差がますます開き始めた。低成長経済のなかで、地方都市が浮上する要素は現状では考えにくい。,
,,▲,百貨店（営業担当）,それ以外,・来客数、売上高ともに前年を下回った。食品類は前年を維持したがファッション関連商品の落ち込みが目立った。,
,,▲,スーパー（店長）,単価の動き,・特売商品・値引き商品などの単価の安い商品は以前より売行きが良いが、生鮮食品・雑貨等定番商品の売行きが悪い。,
,,▲,観光型旅館（経営者）,来客数の動き,・宴会などは減っていないが、宿泊客が昨年に比べ大幅に減った。また、予約状況も余り良くない。この要因として愛知万博の影響で四国への客が減っていることが考えられる。,・宴会などは減っていないが、宿泊客が前年に比べ大幅に減った。また、予約状況も余り良くない。この要因として愛知万博の影響で四国への客が減っていることが考えられる。
,,×,タクシー運転手,お客様の様子,・相乗りして帰宅する客が減って、１人で乗る客が多くなった。その分客単価は落ちている。,
"企業
動向
関連

(四国)",,◎,＊,＊,＊,
,,○,食料品製造業（従業員）,受注量や販売量の動き,・新商品が貢献し、売上が伸びている。,
,,□,繊維工業（経営者）,受注量や販売量の動き,・全体的に景気は上向いていると思うが、単価アップや受注量が増えておらず厳しい状況が続いている。消費者は欲しいものしか買わず、価値のあるものしか売れない状況である。,
,,□,一般機械器具製造業（経理担当）,受注量や販売量の動き,・大型クレーンの稼動状況は、高稼働で推移しているが、買換え需要にはまだつながっていない。,
,,□,建設業（総務担当）,受注価格や販売価格の動き,・かなりまとまった金額の工事の受注ができているが、収益面では、依然として厳しい状況が続いている。,
,,□,輸送業（支店長）,受注量や販売量の動き,・例年、年度末は繁忙期であるが、今年は貨物量のにぎわいは無い。荷物の発注の小ロット化が進み、前年割れの状態が続いている。,
,,□,広告代理店（経営者）,取引先の様子,・取引先の大型流通店長の話によると３月は後半になると来客数、売上額共急カーブで上昇するのだが今年は例年になく低調で、家電など大型消費財の動きも鈍く、日用品、生鮮食品なども悪かった昨年よりもさらに悪い気がすると聞いている。,・取引先の大型流通店長の話によると３月は後半になると来客数、売上額共急カーブで上昇するのだが今年は例年になく低調で、家電など大型消費財の動きも鈍く、日用品、生鮮食品なども悪かった前年よりも更に悪い気がすると聞いている。
,,□,公認会計士,取引先の様子,・確定申告が終わり、前年比を見ると、売上、利益ともに、前年と伸びている企業は少なく、ほぼ７割が前年比で減少している。,
,,▲,輸送業（役員）,受注量や販売量の動き,・商業用小荷物の荷動きはやや落ちてきている。,
,,×,木材木製品製造業（経営者）,受注量や販売量の動き,・年度末を迎えての在庫調整により、販売量が落ち込んでいる。,
"雇用
関連

(四国)",,◎,－,－,－,
,,○,－,－,－,
,,□,人材派遣会社（支店長）,求人数の動き,・年度末ということで、求人、求職者数ともに増えたが、4月以降は大きな需要は見込めない。,
,,□,職業安定所（職員）,求人数の動き,・新規求人数は前年に比べ、３か月ぶりに増加に転じた。情報サービス業では、企業誘致に伴うコールセンターより大口求人があった。卸売・小売業では、新規出店に伴う販売員の大口求人があったため、大幅に増加した。,
,,▲,求人情報誌製作会社（編集者）,雇用形態の様子,・中小企業を中心に、即戦力採用に対し二の足を踏んでいる感がある。,
,,×,新聞社［求人広告］（担当者）,周辺企業の様子,・新たな求人広告がない。葬儀社ぐらいしか景気の良いところはない。,
,,,,,,
　１０．九州（地域別調査機関：（財）九州経済調査協会）,,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）,
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明,
"家計
動向
関連

(九州)",,◎,＊,＊,＊,
,,○,商店街（代表者）,来客数の動き,・佐賀城下ひな祭りが開催されている。上旬は天候が不順で出足が少なかったが、今は順調に増えている。佐賀市の中心部という限られた範囲内で客が回ってはいるが、やや良い。,
,,○,スーパー（店長）,販売量の動き,・買上点数、単価が上がっている。客数はそう大きく増えてはいないが、売上が２けた増となっている。,
,,○,スーパー（企画担当）,来客数の動き,・今月に入り曇天・雨天の日が少なく、春模様も感じられ、客の購買意欲が増してきたことにより、客数が増加している。雛祭り商材、春野菜、春鰹、新生活商材等の季節商材の動きが良い。ただし、桜の開花が例年よりも遅く、月末の行楽商材の動きは若干鈍くなっている。,
,,○,家電量販店（企画担当）,単価の動き,・最近単価の高い物、液晶テレビ、新製品のＤＶＤ、新しい洗濯機等の需要が出てきているので、全体的に良くなっている。,
,,○,乗用車販売店（従業員）,販売量の動き,・契約件数は、決算ということで多くなっているが、利益が伴っていない。,
,,○,乗用車販売店（管理担当）,来客数の動き,・土日に新車や自動車整備のイベントを開催しているが、確実に客数が増えている。特に整備等が増えている。,
,,○,その他専門店［医薬品］（従業員）,お客様の様子,・２月に続き寒さが続いたため、風邪薬等の季節商品が売れた。また、花粉症の客が昨年に比べて多く、関連の商品がよく売れている。,・２月に続き寒さが続いたため、風邪薬等の季節商材が売れた。また、花粉症の客が前年に比べて多く、関連の商品がよく売れている。
,,○,旅行代理店（従業員）,来客数の動き,・春休みの動きは昨年を上回る。特に国内の東京、名古屋、関西、近場の温泉が目立つ。桜ツアーは昨年より開花が遅く4月が中心になりそうだ。,・春休みの動きは前年を上回る。特に国内の東京、名古屋、関西、近場の温泉が目立つ。桜ツアーは前年より開花が遅く4月が中心になりそうだ。
,,○,タクシー運転手,お客様の様子,・景気が悪い中で生活のパターンが少しずつ変わってきたと思われるが、若干人の動きが出てきて、少しずつ流れが出来てきたので良くなってきた。,・景気が悪い中で生活のパターンが少しずつ変わってきたと思うが、若干人の動きが出てきて、少しずつ流れが出来てきたので良くなってきた。
,,○,住宅販売会社（従業員）,お客様の様子,・展示場への来場数、土地の販売量等が良くなっている。,
,,□,商店街（代表者）,販売量の動き,・高額商品の数はそこそこ出るが、単価も販売量も上がってこない。,
,,□,商店街（組合職員）,来客数の動き,・２月中旬から３月上旬まで恒例の春のイベントが行われた。市内、県外から多数の観光客が訪れ、商店街は活気があった。それぞれの商店街で独自の接待、サービスを行っていたが好評で、ソフト面で商店街の良さをアピールできていた。,
,,□,商店街（代表者）,販売量の動き,・中旬から暖かくなり人出も増えたが、近くの店がまた閉店するなど、良い面と悪い面が半々である。,
,,□,商店街（代表者）,お客様の様子,・フレッシュマンセールで新入学、卒業のヤング層が例年なら買いに来るが、今年は動きが少なく、商店街の来街客が少ない。,
,,□,商店街（代表者）,来客数の動き,・商店街には若い層の客がほとんどなく、どちらかといえば高齢者や近隣に住む客が多く、自分の体調、天候等に合わせて出てくる。今月は雨の日が多かったので、人も少なかった。,
,,□,商店街（代表者）,販売量の動き,・今の時期、陽気が良くなってくると人の動きも良くなり、購買量も増えるが、福岡県西方沖地震でそれが止まってしまい、非常に悪い状況になっている。,
,,□,一般小売店［青果］（店長）,単価の動き,・単価の高い果物の動きがここ３か月かなり鈍くなっている。買い控えが如実に出ている。,
,,□,百貨店（営業担当）,販売量の動き,・福岡市天神地区では、先月の新地下鉄開通や新地下街開業に伴う効果で消費は上向いていたが、福岡県西方沖地震により、３月後半の消費マインドは冷え込んだ。,・福岡市天神地区では、前月の新地下鉄開通や新地下街開業に伴う効果で消費は上向いていたが、福岡県西方沖地震により、３月後半の消費マインドは冷え込んだ。
,,□,百貨店（販売促進担当）,それ以外,・食料品・飲食に関しては売上が前年をキープしているが、衣料品が年々落ちている。,
,,□,百貨店（営業企画担当）,販売量の動き,・昨年の福岡大型店の出店の影響などの反動で好転の兆しはあるものの、３月の気温の低下、福岡県西方沖地震などの影響で、伸び悩みの状況が続いている。,・前年の福岡大型店の出店の影響などの反動で好転の兆しはあるものの、３月の気温の低下、福岡県西方沖地震などの影響で、伸び悩みの状況が続いている。
,,□,百貨店（業務担当）,来客数の動き,・入店客数がおもわしくない。特に週末の家族連れを含めた入店客数が減っている。,
,,□,スーパー（経営者）,単価の動き,・必要な物以外は買わなくなり、客単価も減っている。しかし必要なものは高くても買っている。,
,,□,スーパー（店長）,販売量の動き,・先月は営業日が１日少なかったにも関わらず、特に衣料品等が月末に向かって良くなった。しかし今月は天候に影響されたのか、春物の動きが非常に悪く、特に子供服、婦人等の分野で落ち込みが厳しかった。,・前月は営業日が１日少なかったにもかかわらず、特に衣料品等が月末に向かって良くなった。しかし今月は天候に影響されたのか、春物の動きが非常に悪く、特に子供服、婦人等の分野で落ち込みが厳しかった。
,,□,スーパー（店長）,販売量の動き,・前年は総額表示の影響で買い控えが起こり、購買点数も下がったが、今年はもっと点数が落ちている。,・前年は消費税総額表示の影響で買い控えが起こり、購買点数も下がったが、今年はもっと点数が落ちている。
,,□,スーパー（総務担当）,単価の動き,・客単価が今月に入って若干低めに推移している。全体的な消費マインドの低下傾向が見られる。特に衣料品についてはその傾向がみられる。,
,,□,コンビニ（エリア担当）,単価の動き,・買上点数が減少しているほか、割引商品の売行きが好調であり、客単価下落の要因となっている。,
,,□,コンビニ（店長）,来客数の動き,・今年は天候不順で修学旅行等のまとまった客が自重しているのか、厳しかった。,
,,□,コンビニ（販売促進担当）,販売量の動き,・量販店向け商品は前年比11％減、コンビニ向けは同3.9％減、ローカルスーパー向けは同3.6％増となった。土日等の充填特売で買上点数は上がるが、客単価は下がっているというのが現状である。また、ローカルスーパーにおいては地域重視の地道な努力が数字として現れている。,
,,□,衣料品専門店（店員）,来客数の動き,・３月に入っても春らしい日があまりなく、寒い気候が続いたため、春物衣料の動きが活発化しなかった。福岡県西方沖地震の影響もあり、客数が伸び悩んだ。月末になってようやく春物が動き出した。,
,,□,衣料品専門店（総務担当）,お客様の様子,・例年３月は春の創業祭を開催しているが、客数が６％減少している。売上もそれに比例して４％減となった。催事バーゲン会場は、例年はめぼしい商品の取り合いになるが、今年はそう混乱する気配がない。,
,,□,乗用車販売店（販売担当）,販売量の動き,・年間最大需要期ということもあり、販売量は増えているが、１年前と比べるとやや低下している。,
,,□,その他専門店［書籍］（店長）,お客様の様子,・来店者は多くなっているが、客単価が下がっている。将来への不安が大きく影響している。,
,,□,その他専門店［ガソリンスタンド］（統括）,販売量の動き,・３月は寒さが遅くまで残り、灯油が好調である。３月も元売仕入価格が上昇し、小売価格に転嫁せざるえない状況だったが、売上数量はさほど減少していない。,
,,□,高級レストラン（経営者）,来客数の動き,・下旬こそ送別会が増え、少し団体が入ったことで少し盛り返したが、上旬や中旬は客数が伸びず苦戦した。,
,,□,タクシー運転手,お客様の様子,・上旬は人の動きが悪かったが、月末にかけて歓送迎会等で少し増えた。,
,,□,タクシー運転手,来客数の動き,・日中の乗り込みは以前とあまり変わりないが、歓送迎会があるせいか、夕方からの決まった時間帯で車が少し足りないような状態のときがある。夜はよく車が動くようになった。,
,,□,観光名所（職員）,来客数の動き,・ゴルフ場については客数が前年比30％減で、天候のせいかかなりの落ち込みである。全体的にゴルフ人口が減っており、当社だけではなく他でも同じ傾向である。,
,,□,ゴルフ場（支配人）,単価の動き,・プレーヤーが安いプレー日を選択しているほか、コンペも減少している。,
,,□,美容室（店長）,来客数の動き,・結婚式や旅行等、必要に迫られての来店が多く、カット、パーマの来店周期が長くなった。カラーリングも自分でするという人が多くなった。,
,,□,住宅販売会社（従業員）,販売量の動き,・県内でも地域差があり、都市部は多少動きがある。,
,,▲,百貨店（売場主任）,お客様の様子,・３月は気温も低く推移し、衣料品が動きにくい状況ではあったが、昨年好調であったコートも動きが悪く、スーツも商品のバリエーションが少ないため、売上に貢献していない。,・３月は気温も低く推移し、衣料品が動きにくい状況ではあったが、前年好調であったコートも動きが悪く、スーツも商品のバリエーションが少ないため、売上に貢献していない。
,,▲,百貨店（営業担当）,販売量の動き,・昨年の新幹線景気の反動でプロパー商材の伸びを期待したが、バーゲンの比重が増加した。また、不安定な気候と福岡県西方沖地震の影響で春物の動きが鈍り、購買意欲が減退している。,・前年の新幹線景気の反動でプロパー商材の伸びを期待したが、バーゲンの比重が増加した。また、不安定な気候と福岡県西方沖地震の影響で春物の動きが鈍り、購買意欲が減退している。
,,▲,百貨店（営業担当）,競争相手の様子,・競走相手の回りの商店街で、撤退した店が３月だけで13店あり、中心街の冷え込みが厳しい。,
,,▲,百貨店（販売促進担当）,来客数の動き,・昨年の百貨店新館オープン等のような華やかなトピックが無いため、明らかに来客数が落ち込んでいる。催事で客が多くなる事はあるが、その催事のみの集客・売上で、催事以外の場所への集客・売上というシャワー効果が全く見込めない状況である。加えて福岡県西方沖地震があった３月20日以降の来店客数がやはり落ち込んでいる。目立って大きいものではないが、徐々に落ち込んできている。,・前年の百貨店新館オープン等のような華やかなトピックが無いため、明らかに来客数が落ち込んでいる。催事で客が多くなる事はあるが、その催事のみの集客・売上で、催事以外の場所への集客・売上というシャワー効果が全く見込めない状況である。加えて福岡県西方沖地震があった３月20日以降の来店客数がやはり落ち込んでいる。目立って大きいものではないが、徐々に落ち込んできている。
,,▲,百貨店（売場担当）,販売量の動き,・今月は上旬がかなり天候が悪く、中旬も気温が上がらず苦戦し、下旬になってようやく上がってきた。最終的には前年比95％程度で推移しそうである。品目別では、婦人衣料が中旬以降に若干動きが出ているほか、雑貨も前年をクリアしている。一方、紳士衣料、身回品は前年の90％程度とかなり苦戦している。,
,,▲,百貨店（売場担当）,販売量の動き,・売場の商品が春物に変わったかと思えば寒くなったりして、商品と気温がなかなかマッチしない。また、大分県はさほど福岡県西方沖地震の被害はなかったが、購買ムードは盛り上がらなかった。,
,,▲,スーパー（経理担当）,販売量の動き,・福岡県西方沖地震の発生により、特に都市部の客の販売額が一時的に落ち込んでいる。,
,,▲,高級レストラン（専務）,来客数の動き,・客数、売上等が昨年に比べ減っている。万博の影響や各地域の景気の変動がかなり響いている。,・客数、売上等が前年に比べ減っている。万博の影響や各地域の景気の変動がかなり響いている。
,,▲,都市型ホテル（スタッフ）,お客様の様子,・福岡では愛知のような大型イベントもなく、春休みの予約も入っていない。また、余震を警戒して、主に関東周辺からの宿泊予約のキャンセルが目立つ。実際当ホテルも福岡県西方沖地震の影響を受けており、修復の間、来客数の減少は否めない。,
,,×,百貨店（営業担当）,お客様の様子,・消費に福岡県西方沖地震の影響が相当出ている。発生後１週間は客足が遠のいているほか、高額品が売れていない。,
,,×,スーパー（店長）,来客数の動き,・競争店が次々に安売りをしたことで、来客数が昨年より８％減となり、大変厳しい状況が続いている。,・競争店が次々に安売りをしたことで、来客数が前年より８％減となり、大変厳しい状況が続いている。
"企業
動向
関連

(九州)",,◎,＊,＊,＊,
,,○,家具製造業（従業員）,受注量や販売量の動き,・年度末でもあり、官公庁、民間からの受注が共に活発である。福岡県西方沖地震の影響で工事が延期された現場もあったが、受注減はなかった。,
,,○,窯業･土石製品製造業（取締役）,競争相手の様子,・同業者の業績から判断すると、メーカーは少しずつ良くなっている。,
,,○,輸送業（従業員）,受注量や販売量の動き,・今月に入り、急に荷動きが良くなってきた。しかし、福岡県西方沖地震により港湾地区の倉庫業は打撃を受けたため、大阪や中部地方等の他の倉庫からの出荷となる等、一時的な大打撃を受けている。,
,,□,農林水産業（経営者）,受注量や販売量の動き,・３月は異動時期で大きな期待をしていた。季節外れの雪で前半はあまり伸びなかったが、後半は居酒屋向け等を含め伸びてきた。,
,,□,金融業（営業担当）,取引先の様子,・特に人材派遣業の売上が伸びておらず、現状維持のままである。,
