,,□,乗用車販売店（営業担当）,来客数の動き,・初売りでも来客数は例年と変わらず、売上も伸びていない。,
,,□,自動車備品販売店（経営者）,販売量の動き,・景気が良いと感じられる事柄はなく、販売量は前年並みで推移している。,
,,□,その他専門店［時計］（経営者）,来客数の動き,・年明けは過去最低まで売上が落ち込んだが、月中旬から持ち直している。,
,,□,その他小売［ショッピングセンター］（管理担当）,来客数の動き,・年末年始のイベントの来客数はほぼ前年並みであった。来客数が増加しても、季節品などへの買い回り効果は薄く、ついで買いの客はほとんど見受けられない。,
,,□,一般レストラン（経営者）,来客数の動き,・雪が少なく良い天候が続いており、通常であれば、客の来店頻度が上がり、組単価が低下する傾向であるが、今年は来店頻度、客単価共に減少傾向である。,
,,□,スナック（経営者）,来客数の動き,・１月の来客数は他の月より多いが、景気は上向きになっていない。,
,,□,都市型ホテル（スタッフ）,来客数の動き,・１月の来客数は前年並みであり、これから宴会が増えてくる。,
,,□,都市型ホテル（企画担当）,来客数の動き,・行政の支援施策である13府県ふっこう周遊割の特需で宿泊客が増加している。また、レストランでは平日の来客数がやや伸び悩んでいるものの、土日は予約が集中して満席の状況であり、全体では好調に推移している。一方で、法人企業の宴会利用の受注は定例物件にとどまり、新規受注は低迷している。,
,,□,旅行代理店（営業担当）,販売量の動き,・全体的に閑散期であり、売上は前年より悪い状況である。,
,,□,タクシー運転手,販売量の動き,・１月は人の動きが悪く、売上は良くない。,
,,□,タクシー運転手,お客様の様子,・前年と比較して天候が良いので客の動きが良く、日中は病院への送迎も増えているが、夜の動きは良くない。,
,,□,タクシー運転手,来客数の動き,・夕方までは人の動きがあるが、夜の動きが悪い。,
,,□,通信会社（総務担当）,それ以外,・通信業界に大きな変動はなく、景気動向は変わらない。,
,,□,通信会社（経理担当）,お客様の様子,・客が消費を控えており、料金が安くなったとの話も聞こえない。,
,,□,テーマパーク（管理担当）,来客数の動き,・入館者数や商品販売高は前年同月と比べて変動がみられない。,
,,□,観光名所（館長）,お客様の様子,・先行きの不安感が客の購買心理に影響しており、東京オリンピックや大阪万博に向けてインバウンド効果だけではなく、日本人の将来に対しての希望や期待感につながる施策が必要である。年金、終身雇用、外国人労働者受入れなどに明るく希望の持てる仕組みづくりが必要である。,
,,□,観光名所（館長）,来客数の動き,・来客数、売上共に前年並みである。,
,,□,ゴルフ場（営業担当）,お客様の様子,・天候に恵まれ前年よりは来場者数が増えている。,
,,□,美容室（経営者）,来客数の動き,・前年と比較して来客数に変化はない。,
,,□,美容室（経営者）,競争相手の様子,・どこの店も景気が良くなく、単価を下げれば来客数は増えるが、売上は上昇しない状況である。,
,,□,設計事務所（経営者）,お客様の様子,・他社を含む来場状況は余り活発ではなく、年明けのタイミングなので客の動きが鈍い。,
,,□,設計事務所（経営者）,来客数の動き,・戸建て住宅の新築の引き合いが低迷しており、消費税の引上げ前の駆け込み需要は前回のように増えていない。,
,,▲,商店街（理事）,販売量の動き,・暖冬の影響でセールになっても販売量が増加せず、来客数も減少している。,
,,▲,商店街（代表者）,単価の動き,・客は商品を厳密に選択し、より安くよりタイムリーに購入するので売上は前年を下回っている。,
,,▲,一般小売店［食品］（経営者）,来客数の動き,・来客数、客単価共に下落傾向が続いている。,
,,▲,百貨店（広報担当）,販売量の動き,・来客数は増えているが、購買に結び付かない。,
,,▲,百貨店（購買担当）,お客様の様子,・寒暖差が激しく、秋冬物商材が安くなっても客は購入しない。12月末にあった近隣百貨店の閉店セールに客を奪われ、当店の売上にかなり響いている。特に衣料品に関しては安い方に客足は流れる傾向にあるが、その一方で、バレンタイン商戦が始まり、高額なチョコレートの動きが順調である。,
,,▲,百貨店（人事担当）,販売量の動き,・来客数は前年を上回っているが、販売金額と販売点数が前年を下回って推移している。,
,,▲,百貨店（外商担当）,単価の動き,・前年に比べて美術品や宝飾品などの高単価商品の動きが悪くなっている。,
,,▲,スーパー（店長）,来客数の動き,・減少している来客数を客単価がカバーしていたが、今月は来客数が前年の96.5％と、３か月前より1.5％低下している。,
,,▲,スーパー（店長）,販売量の動き,・野菜の相場安と暖冬の影響で客単価が前年より低く推移している。,
,,▲,スーパー（店長）,来客数の動き,・来客数の減少が顕著で、売上も前年を下回っている。,
,,▲,スーパー（販売担当）,来客数の動き,・年末までは好調に推移していた来客数が、今年に入り前年の97％と減少傾向である。家具とインテリアは近隣の大型家具店の影響が大きく、販売点数が前年の78％と苦戦を強いられ、衣料品は暖冬の影響で冬物の動向が鈍くなっている一方で、食品のみが好調に推移している。,
,,▲,スーパー（財務担当）,販売量の動き,・野菜の大幅な相場安の影響や客の節約による買上点数の減少で、既存店の売上が前年を下回っている。,
,,▲,スーパー（業務開発担当）,販売量の動き,・暖冬の影響で鍋材料の売行きが悪く、安価になっている野菜の販売点数が増加せず、販売単価は10％も低下している。,
,,▲,衣料品専門店（経営者）,競争相手の様子,・取引先の話では、商売が低調である。,
,,▲,家電量販店（店長）,来客数の動き,・売上、来客数共に前年比95％前後で推移しており、３か月前とほとんど変わっていない。今後、来客数の増加は見込めず、現状では来客数の低下を客単価の引上げで何とかカバーしている状況なので、景気は決して良くない。,
,,▲,家電量販店（企画担当）,来客数の動き,・来客数が前年の９割程度で、暖冬のため暖房器具の売上は伸びず、景気は良くない。,
,,▲,その他専門店［布地］（経営者）,お客様の様子,・正月明けの一週間は来客数が増加したが購入率は低く、１月後半からは来客数が減少している。,
,,▲,一般レストラン（経営者）,来客数の動き,・寒さで客足は少なく、客単価もそれほど上昇せず、全体的に景気が沈んでいる。,
,,▲,その他飲食［サービスエリア内レストラン］（店長）,単価の動き,・商品が値上がっている。,
,,▲,都市型ホテル（総支配人）,来客数の動き,・宿泊の閑散期であるため前年並みに推移しており、13府県ふっこう周遊割の利用者があるものの、来客数の大幅な増加はない。,
,,▲,通信会社（広報担当）,単価の動き,・客はほぼ無料に近いものにしか興味がない。,
,,▲,通信会社（企画担当）,お客様の様子,・正月後の販売の動きが鈍くなっており、様々な年始の会合では、今年の見通しについて警戒感の強い意見が多く、消費の動き抑制的になっている。,
,,▲,テーマパーク（業務担当）,来客数の動き,・イルミネーションイベントが終わり、冬の閑散期で来園者数が減少している。,
,,▲,テーマパーク（営業担当）,来客数の動き,・花の少ない時期であり、暖冬ではあるが寒い日が続くこともあって、屋外施設への客足は鈍い。,
,,▲,住宅販売会社（従業員）,お客様の様子,・消費税８％の現在が得なのか、引上げ後の10％が得なのかを税制改正で見極めようとする慎重な客が増えている。,
,,▲,住宅販売会社（営業担当）,販売量の動き,・例年であれば４月からの着工の受注があるが、案件が少ない。,
,,×,一般小売店［眼鏡］（経営者）,単価の動き,・買い控えをする客が増加している。,
,,×,一般小売店［洋裁附属品］（経営者）,来客数の動き,・寒さで人出が少ない。,
,,×,乗用車販売店（統括）,販売量の動き,・１月の販売量は前年比85％と大変厳しい状況である。,
,,×,自動車備品販売店（経営者）,販売量の動き,・今年は暖冬で降雪がなく、冬物商材の販売量が激減している。,
,,×,住関連専門店（営業担当）,来客数の動き,・土日の集客が悪く、平日と全く変わらない。,
"企業
動向
関連

(中国)",,◎,輸送用機械器具製造業（経営者）,受注量や販売量の動き,・取引先の地元自動車メーカーが好調である。,
,,◎,不動産業（総務担当）,それ以外,・来客数と成約件数が約30％伸びている。,
,,○,鉄鋼業（総務担当）,取引先の様子,・自動車、建設、建設産業機械など各分野の需要が好調で鋼材の加工が忙しく、災害復旧工事などもあって鋼材の需要は底堅い状況である。,
,,○,輸送用機械器具製造業（経営企画担当）,受注量や販売量の動き,・主要客からの受注量は高い水準を保っている。,
,,○,広告代理店（営業担当）,受注量や販売量の動き,・各事業体での新春の販売促進案件やイベント等の開催告知に関する内容で上向きに推移している。,
,,□,農林水産業（従業員）,受注量や販売量の動き,・発注も市場での客の買いもかなり下火の状況である。,
,,□,食料品製造業（総務担当）,受注量や販売量の動き,・出荷状況に変化はない。,
,,□,繊維工業（監査担当）,受注量や販売量の動き,・繁忙期に入り、前年よりやや動きが早いが、まだ初期段階なので数字には表れていない。,
,,□,木材木製品製造業（経理担当）,受注量や販売量の動き,・新年に入り、米中の貿易摩擦や米国ＩＴ企業の業績の下方修正による株価の下落によって、日本市場の株価の下落や円高が懸念される反面、消費税の引上げ前の駆け込み需要の高まりもあり、景気の動向に変化はない。,
,,□,化学工業（経営者）,受注量や販売量の動き,・僅かながらも増加傾向にあった受注量は、３か月前の水準を維持しており、景気の後退感を残しながらも安定している。,
,,□,窯業・土石製品製造業（総務経理担当）,受注量や販売量の動き,・生産量は高い水準が継続しており、新規大口の引き合いは辞退している状況である。,
,,□,非鉄金属製造業（業務担当）,受注量や販売量の動き,・電子材料関係の受注量に大きな変化はない。,
,,□,金属製品製造業（総務担当）,受注量や販売量の動き,・受注量が生産能力の50％を割り込み、厳しさが増している。,
,,□,輸送用機械器具製造業（財務担当）,取引先の様子,・当社に限らず業界全体としてここ数年は外部環境、内部環境、業界構造共にやや悪い状態が続いている。,
,,□,建設業（総務担当）,受注量や販売量の動き,・受注は順調に推移しているが、技術職員や協力業者の人手不足、鋼材やボルト等の資材の納期に時間が掛かる状況など不安要素がある。,
,,□,輸送業（経理担当）,受注量や販売量の動き,・一時期に比べて荷動きが堅調になっている。,
,,□,輸送業（総務担当）,取引先の様子,・客からの受注量に大きな変化はない。,
,,□,通信業（営業企画担当）,取引先の様子,・不動産業では、情報通信関連の投資が増加傾向にあるものの、製造業や流通業では、前年同期と比べて次年度に向けた大きな投資案件が少ない。,
,,□,通信業（営業担当）,受注量や販売量の動き,・年始からの業績は例年、例月どおり変動なく推移している。,
,,□,金融業（貸付担当）,取引先の様子,・年末は全体的に取引先の商取引の動きが活発になったが、年明けは落ち着いており、特に大きな変化はない。,
,,□,金融業（融資企画担当）,取引先の様子,・好調を維持していた系列完成車メーカーの世界販売が中国や北米で失速しており、地元部品メーカーの受注は高水準ながらも、前年比でマイナスとなっている。,
,,□,会計事務所（経営者）,受注量や販売量の動き,・事務系アウトソーシング業務が拡大しており、人手不足を解消できれば年度末までは現状維持が可能である。,
,,▲,食料品製造業（経営者）,受注量や販売量の動き,・暖冬なので季節商材の動きが悪く、販売量が３～５％低下し、原材料費は高騰しているので厳しい経営状況である。,
,,▲,電気機械器具製造業（総務担当）,受注量や販売量の動き,・主力製品の受注量が減少しており、売上も減少する見通しとなっている。さらに、新たな装置の開発、製造、販売も軌道に乗るまではまだ時間を要する状況にある。,
,,×,＊,＊,＊,
"雇用
関連

(中国)",,◎,－,－,－,
,,○,人材派遣会社（支店長）,求職者数の動き,・求職者の動きが活発で、転職希望者の数が増加している。,
,,○,新聞社［求人広告］（担当者）,求人数の動き,・県内企業経営者を対象にしたアンケートで、91％が人手不足と考えている。この状況に伴い、企業が省力化のための設備投資を増加する傾向にあり、また、平成30年７月豪雨からの復旧工事や改良工事などの需要も本格化して景気は拡大傾向である。,
,,□,人材派遣会社（社員）,採用者数の動き,・求人数、求人背景、周辺企業の動向に変化はなく、求人、求職者共にあるが、条件に合う仕事が少ない状況が続いている。,
,,□,求人情報誌製作会社（経営者）,求人数の動き,・３か月前と比べて求人数には大きな変動はなく、アルバイトやパート求人、正社員求人共に高い求人数となっており、特に正社員の求人数は３年前より常に高いレベルで推移している。,
,,□,求人情報誌製作会社（広告担当）,雇用形態の様子,・中途、新卒にかかわらず、正社員の採用比率が上昇しており、今年度は約８割となっている。,
,,□,職業安定所（所長）,求人数の動き,・新規求人は、客入りが好調な温泉旅館が増員募集するなど宿泊飲食サービスが前年同月比で３割増となっている。次年度の非常勤職員募集で管内の各市町から求人が出されるなど、求人全体では高いレベルで推移している。,
,,□,職業安定所（雇用関連担当）,求人数の動き,・新規求人数、新規求職者数に大きな動きはなく、管内の有効求人倍率は高水準で推移している。産業別では医療福祉分野での求人が前年に比べ増加している。,
,,□,職業安定所（事業所担当）,求人数の動き,・前年同期の大量求人の影響で直近の新規求人数は前年同期比で10％弱減少しているが、企業の採用活動に変化はない。なお、離職者、新規求職者共に引き続き減少傾向で推移していることから、各社とも従業員の確保には苦慮している。,
,,□,職業安定所（職業指導担当）,求人数の動き,・有効求人倍率は依然として１倍を大きく超えており、人手不足感が顕著である。,
,,□,民間職業紹介機関（職員）,求人数の動き,・後継者不足による事業閉鎖の声を聞く一方で、財務体質の良い企業では、次なる担い手を外部から採用できている。将来の経営者を目指すミドル層は、これをチャンスと捉えており、事業存続と雇用維持が図られている。,
,,□,民間職業紹介機関（人材紹介担当）,求職者数の動き,・求職者の動きに変化はなく、景気回復には人手不足の解消が必要である。,
,,□,学校［大学］（就職支援担当）,採用者数の動き,・現在、就職環境が好調なのは、若い人材の不足が影響しているためであり、景気の動きとは関係ない。,
,,□,学校［短期大学］（進路指導担当）,周辺企業の様子,・新卒採用がほぼ終了し、新たな動きはみられない。,
,,▲,人材派遣会社（経営企画担当）,周辺企業の様子,・米中の貿易摩擦の影響で電子部品関連が低調となっている。,
,,×,－,－,－,
,,,,,,
　10．四国（地域別調査機関：四国経済連合会）,,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）,
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明,
"家計
動向
関連

(四国)",,◎,＊,＊,＊,
,,○,スーパー（店長）,来客数の動き,・来客数の前年比が改善傾向にある。,
,,○,コンビニ（店長）,来客数の動き,・店舗周辺で住宅やマンションの建設が増加している。,
,,○,衣料品専門店（経営者）,単価の動き,・来客数は想定より少ないが、客は意外と単価の高い物を買っていく。景気は少し良くなっている。,
,,○,衣料品専門店（経営者）,販売量の動き,・１月は例年、大きなバーゲンセールを行っており、今回のバーゲンセールについても前半は好調で良い数字で推移した。後半は少しバテ気味で売上が減少したが、総合すると１月の売上は良かった。,
,,○,家電量販店（副店長）,単価の動き,・客数は前年を下回っているが、大型商品の購入が多く、客単価が良い。,
,,○,乗用車販売業（営業担当）,販売量の動き,・12月の歳末イベントに続き、１月の初売りイベントも予想より好調だった。,
,,○,乗用車販売店（役員）,販売量の動き,・引き続き新型車の売行きが好調で、特に高級車の高グレードの物がよく売れている。,
,,○,旅行代理店（営業担当）,販売量の動き,・10連休のゴールデンウィークが近づいてくるにつれて、業況は非常に上向きである。客が動き出してきた。,
,,○,美容室（経営者）,来客数の動き,・例年と比べ、12月に余り客が動かなかったため、今月に流れている。,
,,□,商店街（代表者）,来客数の動き,・年始は福袋も含め、バーゲンセールの出足は好調だった。中盤から少しペースダウンしたが、来客者数は依然として好調を維持している。,
,,□,一般小売店［乾物］（店員）,来客数の動き,・空き店舗も増えており、引き続きかなり厳しい状況である。今後どうなるか不安がある。,
,,□,スーパー（企画担当）,来客数の動き,・競合先の出店が落ち着いたので客数の変動もやや落ち着いたが、客が買い回りをする状況は引き続いているため客単価は伸びない。,
,,□,コンビニ（総務）,来客数の動き,・客数前年比が回復しない。客単価の上昇で売上が前年を上回っている状況は変わらずである。,
,,□,衣料品専門店（営業責任者）,単価の動き,・売上はやや前年を下回って推移している。暖かい気温が続いていたため、コートやダウンジャケットの動きが鈍く、客単価が下落している。客単価の減少が売上に直結している。,
,,□,その他小売［ショッピングセンター］（副支配人）,お客様の様子,・寒くなってきたが、コート等の重衣料品が特に売れているわけではなく、状況は変わらない。,
,,□,観光型旅館（経営者）,来客数の動き,・市全体の景気動向はまあまあだが、温泉街は温泉施設の改修工事が始まったり、耐震のための建て替えなどで宿泊できる部屋数が減っているなどの事情があり、少し元気がない。皆が頑張っているので、２～３か月後には良くなるだろう。,
,,□,都市型ホテル（経営者）,来客数の動き,・相変わらず景況感がない状態が続いている。平成30年７月豪雨からの復興のための13府県ふっこう周遊割が、この１月まであるが、新しい客を開拓するのではなく、既存客がそれにすり替わった状況であり、余り変わらない。,
,,□,通信会社（支店長）,販売量の動き,・特段の変化は見られない。,
,,□,通信会社（営業部長）,販売量の動き,・販売量が、３か月前と同水準にとどまっている。,
,,□,競輪競馬（マネージャー）,来客数の動き,・入場者数が瞬間的には増加している時期があるものの、月全体では、ほぼ横並びで推移している。売上高も比例しており景気はほぼ変わらない。,
,,□,設計事務所（所長）,単価の動き,・建築単価が下落する見込みもあり、動きについて、見通しが立たない。,
,,▲,商店街（事務局長）,販売量の動き,・正月は天候にも恵まれ初売りは多くの人出でにぎわった。冬物のセールを月初からスタートした店は前半好調に推移したものの、温暖な日が多く、気温が余り下がらなかったため、中旬以降にセールをスタートした店を含め月中盤からの伸びがなくなり失速した。,
,,▲,商店街（代表者）,それ以外,・日本の政治経済状況は余りにも課題が山積で、良好で安定的な状況は当面望めない。,
,,▲,商店街（代表者）,来客数の動き,・来客数の前年比が多少悪化しており、年始から成人の日までが１週間空いたため、サービス業にとっては余り良くなかった。,
,,▲,一般小売店［生花］（経営者）,それ以外,・年末年始以外の繁華街の人通りが少なく、飲食店に配達に行っても客入りが少ない。今年の１月後半は特に少なかった。,
,,▲,一般小売店［書籍］（営業担当）,販売量の動き,・外商売上が落ち込んで、前年同月比でマイナスとなった。,
,,▲,百貨店（営業統括担当）,販売量の動き,・新年初売りは好調なスタートだったが、２日目以降は来客数、売上共に落ち込んだ。セールでも客の買い方は慎重だった。月後半にはバーゲンセールを行い売上拡大を図ったが、客の反応は鈍い。月を通してみると、高額品、化粧品はプラスを維持したが、衣料品の売上高のマイナスが大きい。,
,,▲,百貨店（販売促進）,販売量の動き,・全国的に１月の実績はマイナス傾向にある。,
,,▲,スーパー（財務担当）,単価の動き,・値下げやポイント付与など、販売促進策には強く反応するが、平常時は買い控えする傾向がますます強まっている。,
,,▲,乗用車販売店（従業員）,販売量の動き,・新車受注状況が前年後半は対前年を上回る状況で推移したが、今年になってからは前年比95％程度の推移に変化している。,
,,▲,乗用車販売店（従業員）,来客数の動き,・初売りイベントの来客数が例年より格段に少なかった。,
,,▲,タクシー運転手,お客様の様子,・１年間を通して１月が一番収入が下落する月であり、やや悪くなっている。客の話では、新年会がなくなったという声が60％前後あった。,
,,▲,美容室（経営者）,来客数の動き,・成人式も終わり、寒さのせいか客数が伸びない。,
,,×,一般小売店［酒］（販売担当）,販売量の動き,・年明けから商品の動きが悪い。,
,,×,スーパー（店長）,単価の動き,・年始は非常に好調だったが、正月明け以降、売上の低迷が続いている。特に野菜の単価の低迷が長期間続いており、全体に影響を及ぼしている。,
,,×,コンビニ（店長）,来客数の動き,・来店客数、売上共に減少の一途で特に前年秋以降の減少が著しい。,
,,×,タクシー運転手,来客数の動き,・今年に入って、極端に動きが悪くなった。日中も客数は少なく、特に夜が凄く暇で、売上が大きく減った。,
"企業
動向
関連

(四国)",,◎,－,－,－,
,,○,木材木製品製造業（営業部長）,受注量や販売量の動き,・大手住宅メーカーの受注が増加しており、好調である。消費税の引上げ以降も住宅ローン減税、エコポイントなどの施策が発表されており、しばらくは順調に推移するだろう。,
,,○,輸送業（支店長）,受注価格や販売価格の動き,・輸送にかかる燃油費や人件費等の単価交渉において、景気の回復もあいまって、客側の受入れ感が前よりも増し、交渉の結果が好転する状況が増えている。,
,,○,通信業（企画・売上管理）,受注量や販売量の動き,・業界として例年１月は悪いが、前年同月が悪すぎたこともあり、前年比という物差しで比較した場合には好調である。また、12月が悪かったためにその反動もあって１月は比較的好調である。２月にもこの勢いは少し波及してくるだろう。,
,,□,繊維工業（経営者）,受注量や販売量の動き,・前年比で売上は順調であるが、魅力的な商品投入によるもので、景気は良くない。特に地方の小売店の状況はますます厳しくなっており、路面専門店はもちろん、大型モール内の雑貨小売店は、デフレ、競合との値引き合戦に追われ、経営が成り立たないところもある。,
,,□,化学工業（所長）,受注量や販売量の動き,・12月前半までは受注、出荷とも増加していたが、12月中旬以降は動きが悪くなっている。暖冬傾向のため、１月も冬物商材の荷動きが悪い。,
,,□,鉄鋼業（総務部長）,受注量や販売量の動き,・主力造船関連は順調である。その他産業用機械等は変化がない。,
,,□,電気機械器具製造業（経営者）,受注量や販売量の動き,・工場の動きは活発で、いろいろな形でメンテナンスや新規のプラント事業がある。景気は引き続き良好だろう。,
,,□,電気機械器具製造業（経理）,受注量や販売量の動き,・販売量に大きな変動がない。個別製品ごとに多少の増減がみられるものの、全体量としては同程度である。なお、販売価格についても変化がない。,
,,□,建設業（経営者）,受注量や販売量の動き,・11～12月は、受注がかなり減った。その傾向が１月も続いている。,
,,□,建設業（経営者）,受注量や販売量の動き,・例年、年末から年度末にかけては繁忙期にあるが、今期は災害関連業務が多かったため手持ち業務量が増えた。その分、売上も増加傾向で、景気はやや良い状態が続いている。,
,,□,金融業（副支店長）,取引先の様子,・取引先の決算書や試算表、当月の売上状況から、余り変化を感じない。,
,,▲,パルプ・紙・紙加工品製造業（経営者）,受注量や販売量の動き,・燃料の価格高騰と輸送費の値上げで、採算が悪くなっている。,
,,▲,輸送業（経営者）,受注量や販売量の動き,・実際の受注量は減少傾向で、人手不足も顕著である。また、10連休の聞えは良いが、学校関係では、授業日数の関係で校外学習がカットされる傾向が出てきた。,
,,▲,輸送業（営業）,受注量や販売量の動き,・１月に入り寒さも例年並みに厳しさを増してきたが、季節商材の動向は依然として鈍く、取扱い物量は例年をやや下回る傾向にあり、取扱物量に特段の変動は見受けられない。消費者は年末年始の支出増を受け購買意欲が低下している。,
,,▲,公認会計士,取引先の様子,・今月の関与先企業の決算、試算表等を分析すると、前年比で悪くなっている企業が目立ち、赤字の企業が増えている。今まではだいたい３割程度が赤字だったのが、45％くらいまで赤字企業が増えている。,
,,×,－,－,－,
"雇用
関連

(四国)",,◎,－,－,－,
,,○,－,－,－,
,,□,人材派遣会社（営業担当）,採用者数の動き,・求人数は増えてきているが、直接雇用での人員が確保できておらず派遣に依頼が来ている。,
,,□,求人情報誌（営業）,周辺企業の様子,・長く続く求人難に打つ手がない状態が続いている。周辺企業でも様々な手で求人募集を行っているが、解決策がなく、景気は横ばいである。,
,,□,新聞社［求人広告］（担当者）,それ以外,・建設、住宅関連は景気が良いが、それ以外は厳しい。,
,,□,職業安定所（求人開発）,周辺企業の様子,・最近、企業の合併の情報が増加してきていたが、少し落ち着いてきた。,
,,□,民間職業紹介機関（所長）,周辺企業の様子,・相変わらずの求人難ではあるが、以前ほどの切迫感はない。求人難のため、リストラを始め、内部で人員の遣り繰りをしている企業も多く見受けられる。,
,,▲,人材派遣会社（営業担当）,求職者数の動き,・弊社は事務系人材派遣を得意としているが、事務職未経験者からの求職申込みが増加してきている。,
,,▲,人材派遣会社（営業）,雇用形態の様子,・流通、サービス業界、医療介護業界の人材不足が深刻である。その結果、シフトが回らない、常時配置人員を減らして少人数で対応しているなど、働き方改革が唱えられるなか、理想と現実の板挟みの現場をどう解決していくかで景気は良くなるだろう。,
,,×,－,－,－,
,,,,,,
　11．九州（地域別調査機関：公益財団法人九州経済調査協会）,,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）,
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明,
"家計
動向
関連

(九州)",,◎,－,－,－,
,,○,一般小売店［生花］（経営者）,単価の動き,・今月は店舗や事務所の開設が多く、こちょうらん等高価な花の購入が多くなり、売上が上がっている。,
,,○,一般レストラン（経営者）,来客数の動き,・予約は少ないものの、海外の客は特にアジア圏からの来店が非常に多く、単価が高い料理を注文している。,
,,○,都市型ホテル（スタッフ）,単価の動き,・稼働は変わらず落ち着いているが、単価については、特に週末は上がり続けている状況である。,
,,○,都市型ホテル（スタッフ）,販売量の動き,・売上が好調で、単価が高いワイン等の販売も伸びている。,
,,○,通信会社（企画担当）,販売量の動き,・季節要因もあるが、販売量が上向きである。,
,,□,商店街（代表者）,来客数の動き,・年末から１月にかけて、客の出足がやや多い状況である。,
,,□,商店街（代表者）,来客数の動き,・商店街の初売りセールでは、天候に恵まれたにもかかわらず、客は少なく、福袋等が売れ残った状態である。来街客数は年々減少していることが大きな原因で、景気が良くなっているとは考えられない。,
,,□,百貨店（総務担当）,販売量の動き,・核テナントの退店前の売り尽くしセールで、現在は来店客数も売上高も前年を大きく超過しているが、客単価は大きく下がっており、実情はまだまだ厳しい状況である。,
,,□,百貨店（営業担当）,単価の動き,・新春の初商い、全店ＤＭ催事、自社カード催事で来店客数を維持しており、特に初商い、ギフト解体は好評である。来店客が多かったため、開店前に入場開始、会場の混雑緩和と安全対策として入場制限を行った。ギフト解体、恒例の有名駅弁等の別会場催事が貢献し、セールシーズンでもプロパー単価が伸びている。,
,,□,百貨店（業務担当）,お客様の様子,・年が明け、冬物衣料品等の処分が始まったが、前年以上に価格が安くなったという理由だけの商品購入は減り、自分が求めているもの以外は全く購入しない。インフルエンザのマスコミ報道は、過熱すると来店そのものにも影響を与える。,
,,□,百貨店（経営企画担当）,それ以外,・一部店舗の閉店セール等特殊与件の影響があり、客数、販売量共伸長しているが、実態ベースでは悪い傾向が継続している。,
,,□,スーパー（店長）,来客数の動き,・売上が厳しい状況が続いている。客単価が微増であるが、客数が減少傾向である。特に生鮮食品に関しては、精肉、野菜等相場の問題もあり大きく売上を落としている。,
,,□,スーパー（経理担当）,販売量の動き,・ここ数か月全体的な数値が悪い。青果や日配品、特に暖冬の影響でおでんや鍋材料の売上が悪く、期間が長引いていることもあり、全体に影響が出ている。来店客数はそれほど落ちていないが買上点数が減っている。,
,,□,スーパー（統括者）,単価の動き,・年末商戦だけは高額な商材もかなり販売できたが、その前後は値段が安い商材を中心に売れている。売上が伸びない原因は、来店客数の増減よりも販売平均単価の下落が主要因となっている。,
,,□,コンビニ（経営者）,販売量の動き,・平成最後ということもあり、年賀状等が例年より多く売れている。年末年始で出費が多かった反動で、１月中旬から販売量が激減し、客単価も落ちた。１か月の売上は前年を下回っており、厳しい状況である。,
,,□,コンビニ（経営者）,単価の動き,・このところ前年割れをする月が多い状況であったが、やっと前年並みの数字に回復している。客数は減少しているが、客単価は増加していることが回復の要因であると考えられる。,
,,□,コンビニ（エリア担当・店長）,来客数の動き,・立地上、連休が続くと客数が伸び悩み、その分の売上が例年に比べ減少している。買い控えも続いており、プラス１品の買上点数が少ない。,
,,□,衣料品専門店（店長）,お客様の様子,・客の動きに活発さが見られず、大きな変化はない。,
,,□,衣料品専門店（店長）,来客数の動き,・晴れが多く天候が安定しているにもかかわらず、依然として来街者及び来客がほとんどない。,
,,□,衣料品専門店（店員）,販売量の動き,・暖冬でセールになっても厚手のコートは売れず、春物商材の動きも例年より良くない。,
,,□,衣料品専門店（総務担当）,来客数の動き,・一昨年の県庁移転より、訪日外国人の減少に伴う来客数の減少が続いている。１年を経過したことにより、一応の落ち着きを見せたが、その後の回復の兆しは見られず、ますます厳しい状況である。,
,,□,衣料品専門店（取締役）,お客様の様子,・１月の初売りに関して、例年と比較すると驚くほど来店客が少なかった。弊社の店舗は当市の中心地にあるが、人出が若干減っている。買物を目的とする人も前年より減少し、売上は95％である。ショッピングバッグを持ち歩いている人が少なくなっている原因は、インターネットで購入する人の増加が考えられる。,
,,□,家電量販店（広報・IR担当）,販売量の動き,・初売り期間中は好調に推移していたが、第２週以降前年から続く暖冬により、エアーコンディショナーを含む暖房器具関連が落ち込み、来店客数減少もあり前年の売上維持が厳しい状況である。,
,,□,乗用車販売店（総務担当）,販売量の動き,・１月に待望の新型車が投入された。当面は新型車効果があり、新車販売台数の増加が期待できる。,
,,□,住関連専門店（経営者）,単価の動き,・初売りの売行きは年々悪くなっているが、今月は国産の高い商品が売れている。都市部でのキャンペーンは、今月も良くない状況である。,
,,□,その他専門店［コーヒー豆］（経営者）,来客数の動き,・毎年の傾向であるが、年末の繁忙期を過ぎ、コーヒー業界では、進物等のコーヒーも出回ったことにより、売上が若干落ちている。前年と変わらない数字である。,
,,□,その他専門店［ガソリンスタンド］（統括）,販売量の動き,・燃料油の小売価格は値下げ傾向である。年始及び１月の３連休の売上に期待したが、前年並みであり、１月トータルも前年並みの見込みである。,
